type,manufacturer,model,yom,price,date
Registered,suzuki,Wagon R FZ,2016,4625000,9/1/2023
Registered,suzuki,Wagon R FZ,2016,4675000,10/1/2023
Registered,suzuki,Wagon R FZ,2016,4775000,11/1/2023
Registered,suzuki,Wagon R FZ,2016,4975000,12/1/2023
Registered,suzuki,Wagon R FZ,2016,5225000,1/1/2024
Registered,suzuki,Wagon R FZ,2016,5525000,2/1/2024
Registered,suzuki,Wagon R FZ,2016,5625000,3/1/2024
Registered,suzuki,Wagon R FZ,2016,5725000,4/1/2024
Registered,suzuki,Wagon R FZ,2016,5525000,5/1/2024
Registered,suzuki,Wagon R FZ,2016,5725000,6/1/2024
Registered,suzuki,Wagon R FZ,2016,5725000,7/1/2024
Registered,suzuki,Wagon R FZ,2016,5775000,8/1/2024
Registered,suzuki,Wagon R FZ,2016,5875000,9/1/2024
Registered,suzuki,Wagon R FZ,2016,5875000,10/1/2024
Registered,suzuki,Wagon R FZ,2016,5725000,11/1/2024
Registered,suzuki,Wagon R FZ,2016,5525000,12/1/2024
Registered,suzuki,Wagon R FZ,2016,5275000,1/1/2025
Registered,suzuki,Wagon R FZ,2016,5125000,2/1/2025
Registered,suzuki,Wagon R FZ,2016,4825000,3/1/2025
Registered,suzuki,Wagon R FZ,2016,4925000,4/1/2025
Registered,suzuki,Wagon R FZ,2016,5225000,5/1/2025
Registered,suzuki,Wagon R FZ,2016,5525000,6/1/2025
Registered,suzuki,Wagon R FZ,2016,5725000,7/1/2025
Registered,suzuki,Wagon R FZ,2016,5825000,8/1/2025
Registered,suzuki,Wagon R FZ,2016,5525000,9/1/2025
Registered,suzuki,Wagon R FZ,2016,5325000,10/1/2025
Registered,suzuki,Wagon R FZ,2017,2775000,7/1/2020
Registered,suzuki,Wagon R FZ,2017,2925000,8/1/2020
Registered,suzuki,Wagon R FZ,2017,3100000,9/1/2020
Registered,suzuki,Wagon R FZ,2017,3050000,10/1/2020
Registered,suzuki,Wagon R FZ,2017,3090000,11/1/2020
Registered,suzuki,Wagon R FZ,2017,3090000,12/1/2020
Registered,suzuki,Wagon R FZ,2017,3152500,1/1/2021
Registered,suzuki,Wagon R FZ,2017,3202500,2/1/2021
Registered,suzuki,Wagon R FZ,2017,3242500,3/1/2021
Registered,suzuki,Wagon R FZ,2017,3295000,4/1/2021
Registered,suzuki,Wagon R FZ,2017,3320000,5/1/2021
Registered,suzuki,Wagon R FZ,2017,3455000,6/1/2021
Registered,suzuki,Wagon R FZ,2017,3705000,7/1/2021
Registered,suzuki,Wagon R FZ,2017,4605000,8/1/2021
Registered,suzuki,Wagon R FZ,2017,4550000,9/1/2021
Registered,suzuki,Wagon R FZ,2017,4525000,10/1/2021
Registered,suzuki,Wagon R FZ,2017,4475000,11/1/2021
Registered,suzuki,Wagon R FZ,2017,4575000,12/1/2021
Registered,suzuki,Wagon R FZ,2017,4825000,1/1/2022
Registered,suzuki,Wagon R FZ,2017,5125000,2/1/2022
Registered,suzuki,Wagon R FZ,2017,5375000,3/1/2022
Registered,suzuki,Wagon R FZ,2017,5425000,4/1/2022
Registered,suzuki,Wagon R FZ,2017,5375000,5/1/2022
Registered,suzuki,Wagon R FZ,2017,5375000,6/1/2022
Registered,suzuki,Wagon R FZ,2017,5325000,7/1/2022
Registered,suzuki,Wagon R FZ,2017,4675000,8/1/2022
Registered,suzuki,Wagon R FZ,2017,4575000,9/1/2022
Registered,suzuki,Wagon R FZ,2017,4375000,10/1/2022
Registered,suzuki,Wagon R FZ,2017,4325000,11/1/2022
Registered,suzuki,Wagon R FZ,2017,4300000,12/1/2022
Registered,suzuki,Wagon R FZ,2017,4225000,1/1/2023
Registered,suzuki,Wagon R FZ,2017,4275000,2/1/2023
Registered,suzuki,Wagon R FZ,2017,4375000,3/1/2023
Registered,suzuki,Wagon R FZ,2017,4350000,4/1/2023
Registered,suzuki,Wagon R FZ,2017,4300000,5/1/2023
Registered,suzuki,Wagon R FZ,2017,4275000,6/1/2023
Registered,suzuki,Wagon R FZ,2017,4525000,7/1/2023
Registered,suzuki,Wagon R FZ,2017,4825000,8/1/2023
Registered,suzuki,Wagon R FZ,2017,5025000,9/1/2023
Registered,suzuki,Wagon R FZ,2017,5075000,10/1/2023
Registered,suzuki,Wagon R FZ,2017,5175000,11/1/2023
Registered,suzuki,Wagon R FZ,2017,5375000,12/1/2023
Registered,suzuki,Wagon R FZ,2017,5625000,1/1/2024
Registered,suzuki,Wagon R FZ,2017,5925000,2/1/2024
Registered,suzuki,Wagon R FZ,2017,6025000,3/1/2024
Registered,suzuki,Wagon R FZ,2017,6125000,4/1/2024
Registered,suzuki,Wagon R FZ,2017,5925000,5/1/2024
Registered,suzuki,Wagon R FZ,2017,6125000,6/1/2024
Registered,suzuki,Wagon R FZ,2017,6125000,7/1/2024
Registered,suzuki,Wagon R FZ,2017,6175000,8/1/2024
Registered,suzuki,Wagon R FZ,2017,6275000,9/1/2024
Registered,suzuki,Wagon R FZ,2017,6275000,10/1/2024
Registered,suzuki,Wagon R FZ,2017,6125000,11/1/2024
Registered,suzuki,Wagon R FZ,2017,5925000,12/1/2024
